Country,Date,Temp_Max,Temp_Min,Temp_Mean,Precipitation_Sum,Windspeed_Max,Windgusts_Max,Sunshine_Duration
Indonesia,18-03-2000,30.9,22.8,25.6,9,6,27.7,27796.56
Indonesia,19-03-2000,28.6,22.7,24.9,8.1,6.8,34.9,21880.55
Indonesia,20-03-2000,29.4,22.1,24.6,15,5.1,24.8,32746.01
Indonesia,21-03-2000,29.5,22.5,24.7,15.4,9.4,28.1,30586.95
Indonesia,22-03-2000,30.3,22.2,24.7,16.9,6.4,37.8,34408.26
Indonesia,23-03-2000,27.1,22.1,23.9,13,5.8,21.6,7028.57
Indonesia,24-03-2000,29.5,22.6,25,3.3,6.3,20.2,21548.04
Indonesia,25-03-2000,30,21.8,24.8,13.6,6,24.5,29968.81
Indonesia,26-03-2000,25.1,22.4,23.3,29.2,7.8,21.6,7375.74
Indonesia,27-03-2000,29.4,22.4,24.9,6.7,5.5,23.4,30447.5
Indonesia,28-03-2000,28.8,22.2,24,22.3,4.8,18.4,24732.8
Indonesia,29-03-2000,30.1,22.1,25,9.6,6.2,17.6,26335.98
Indonesia,30-03-2000,27.6,22.3,23.7,41.7,7.2,24.1,7912.5
Indonesia,31-03-2000,29.5,22.3,25.2,7.6,4.5,22,31771.31
Indonesia,01-04-2000,29.9,22.4,25.1,6.8,4.4,17.6,30353.36
Indonesia,02-04-2000,29,23,24.7,9.5,5.4,19.8,31116.55
Indonesia,03-04-2000,29.2,22,24.8,15.3,6.5,20.9,20170.46
Indonesia,04-04-2000,26.3,22.3,24,13.9,5.5,24.5,3167.98
Indonesia,05-04-2000,30.4,22.4,25.1,22.3,5.6,28.4,30476.97
Indonesia,06-04-2000,29.6,22.9,25.5,8.7,7.6,27,26034.56
Indonesia,07-04-2000,30.5,22.7,25.6,15.1,7.3,28.8,38814.29
Indonesia,08-04-2000,30.7,22.3,25.6,9.6,6.8,23.4,36000
Indonesia,09-04-2000,30.1,22.6,25.2,10.4,4.3,24.8,29973.24
Indonesia,10-04-2000,30.6,23.1,25.5,14.8,7.2,24.5,38404.05
Indonesia,11-04-2000,29.5,22.8,25.3,10.6,6.9,20.5,34573.67
Indonesia,12-04-2000,29.3,22.5,24.6,20.6,7.8,32.8,27417.66
Indonesia,13-04-2000,29.8,22.7,25.3,13.9,5,22.7,35711.86
Indonesia,14-04-2000,30.4,22.5,25.3,3.1,5.4,15.8,26917.59
Indonesia,15-04-2000,28.5,23.4,25.6,12.4,5.5,28.4,35468.63
Indonesia,16-04-2000,30.6,22.8,25.7,21.2,6.9,25.6,30589.17
Indonesia,17-04-2000,29.9,22.5,25.7,9.5,8.3,29.5,35074.84
Indonesia,18-04-2000,29.9,23.3,25.4,12.5,6.4,24.8,28601.24
Indonesia,19-04-2000,29.1,22.6,24.9,6.5,6,20.9,23748.13
Indonesia,20-04-2000,27.5,22.7,24.5,7,4.9,17.3,11109.91
Indonesia,21-04-2000,30.3,22,26.1,0.5,6.9,22,38089.26
Indonesia,22-04-2000,30.5,23.2,26.7,6.8,5.3,17.3,39600
Indonesia,23-04-2000,30.3,22.7,25.6,8.6,6.3,26.3,36666.75
Indonesia,24-04-2000,26.8,23.1,24.8,10.7,7.3,23.8,15846.97
Indonesia,25-04-2000,29.5,22.4,25,14.7,4.8,18.7,36565.26
Indonesia,26-04-2000,27.5,22.8,24.7,15.5,4,18,23866.91
Indonesia,27-04-2000,28.5,22.5,25,13.9,7.7,26.6,37311.16
Indonesia,28-04-2000,29.8,22.6,25.3,5.2,6.5,27.7,24348.66
Indonesia,29-04-2000,30.8,22.8,25.8,4.6,8.9,21.6,34021.47
Indonesia,30-04-2000,29.1,23.1,24.9,8.7,5.5,22.3,26354.6
Indonesia,01-05-2000,27.3,22.9,24.3,9.4,7.1,21.6,6075.45
Indonesia,02-05-2000,26.8,22.9,24.4,3.9,4.7,15.5,81.72
Indonesia,03-05-2000,28.6,22.5,24.7,37.8,8.2,33.5,29684.81
Indonesia,04-05-2000,28.8,22.7,24.5,12.5,4.6,25.6,16987.49
Indonesia,05-05-2000,29.5,22.1,24.5,4.5,7.9,25.9,26964.49
Indonesia,06-05-2000,28.8,22.2,24.7,4.5,6,28.8,24712.76
Indonesia,07-05-2000,29.4,22.7,25,9,6.4,30.6,29168.1
Indonesia,08-05-2000,29.2,22,25.1,12.8,7.7,28.1,29569.74
Indonesia,09-05-2000,29.1,22.5,25,10.6,9.7,25.6,34607.41
Indonesia,10-05-2000,29.6,22.7,25.7,1,5.6,18.7,37493.2
Indonesia,11-05-2000,30.2,23.7,26.2,1.9,5.4,19.8,37314.64
Indonesia,12-05-2000,31.4,22.8,25.8,6,7.4,22,37585.33
Indonesia,13-05-2000,29.4,22.6,25.5,7.6,6.5,21.6,33474.26
Indonesia,14-05-2000,30.9,22.6,26.4,2.5,5.8,15.8,38933.59
Indonesia,15-05-2000,31,22.9,26.1,24.1,7.2,23.4,39699.73
Indonesia,16-05-2000,30.3,22.6,26,3,7.7,24.1,39611.15
Indonesia,17-05-2000,29.8,23.6,25.8,4,4.8,20.2,39433.32
Indonesia,18-05-2000,31.3,23.6,26.3,7,4.8,19.8,39655.15
Indonesia,19-05-2000,31.4,23.4,26,13.3,7.2,22.7,34529.77
Indonesia,20-05-2000,28.3,22.9,25.3,4,6.2,21.2,34237.96
Indonesia,21-05-2000,31.1,23.6,26.9,4.5,6,20.5,39600
Indonesia,22-05-2000,31.4,22.7,26,15.3,6.6,19.4,39794.51
Indonesia,23-05-2000,28.8,23.1,25.3,9.4,7.3,16.6,34299.9
Indonesia,24-05-2000,30.7,23.7,26.2,3.6,5.1,18.4,36000
Indonesia,25-05-2000,29.5,23.1,25.5,8.4,6,19.8,34311.95
Indonesia,26-05-2000,30.1,22.6,25.2,4.3,6.1,22.3,31593.44
Indonesia,27-05-2000,28.5,23.3,25,3.4,5,18.7,30578.2
Indonesia,28-05-2000,29.8,23,25.5,7.5,6.4,20.9,37173.64
Indonesia,29-05-2000,30.5,23.3,25.8,6.7,6.9,20.2,39600
Indonesia,30-05-2000,26.6,22.9,24.2,12.8,6.1,18.4,9121.59
Indonesia,31-05-2000,27.1,22.7,24.5,16,5.4,19.4,29864.19
Indonesia,01-06-2000,25.9,22.6,23.7,47.4,4.7,15.8,2733.53
Indonesia,02-06-2000,29.9,22.5,25.3,17.4,6.1,22.7,39218.88
Indonesia,03-06-2000,26.5,22.9,24,19.4,4.8,15.8,12167.15
Indonesia,04-06-2000,25.5,22.6,23.9,5.3,3.8,15.5,4834.12
Indonesia,05-06-2000,29.8,23.3,26,0.8,5.5,20.2,36000
Indonesia,06-06-2000,29.5,23.1,25.4,5.1,6.7,20.5,22170.31
Indonesia,07-06-2000,29.1,22.7,24.7,14.6,5.9,21.6,22450.99
Indonesia,08-06-2000,26.5,22.7,24.3,12.9,6.8,21.2,21002.68
Indonesia,09-06-2000,23.9,22.2,22.9,13.3,5.3,13.3,118.87
Indonesia,10-06-2000,30.3,21.8,24.9,6.4,5.9,26.6,36000
Indonesia,11-06-2000,29.9,22.4,25.2,2.6,7.8,21.6,31169.28
Indonesia,12-06-2000,28.6,22.3,24.2,9.1,6.5,22.7,26344.69
Indonesia,13-06-2000,29.3,22.1,25,2.1,5.4,24.5,36000
Indonesia,14-06-2000,29.1,22.4,25.1,3.1,6.4,23.8,39656.52
Indonesia,15-06-2000,28.7,22.3,25,2.6,6.2,20.9,32039.99
Indonesia,16-06-2000,27.5,22.3,24.6,3.4,4.9,19.4,29190.49
Indonesia,17-06-2000,30.8,22.1,25.9,0.1,6.4,19.8,38278.56
Indonesia,18-06-2000,29.5,22.9,25.2,13.3,5.6,22.7,37001.78
Indonesia,19-06-2000,29,22.4,24.6,5.5,6.7,21.6,30018.8
Indonesia,20-06-2000,26,22.1,23.8,8.8,6.2,17.6,17296.03
Indonesia,21-06-2000,27.7,21.5,24.2,2.2,6.1,20.2,29707.73
Indonesia,22-06-2000,28.2,22.7,24.4,8.7,3.9,17.6,18324.51
Indonesia,23-06-2000,28.3,22.3,24.5,1.9,7,18.7,26440.63
Indonesia,24-06-2000,29.1,21.6,24.5,4.3,5.1,22,34730.36
Indonesia,25-06-2000,28.6,22.2,24.8,1.8,3.9,20.5,32400
Indonesia,26-06-2000,28.1,22.2,24,8.5,5.4,19.4,23889.63
Indonesia,27-06-2000,29.8,21.9,24.7,4.8,7.3,23.8,35869.2
Indonesia,28-06-2000,27.9,21.9,23.9,15.6,7.9,27.4,29542.21
Indonesia,29-06-2000,28.1,21.7,24,8.5,7.4,29.2,33240.43
Indonesia,30-06-2000,28.4,21.9,24.6,3.1,7.7,25.6,37724.5
Indonesia,01-07-2000,28.9,21.7,24.9,1.5,6.8,27.7,32350.04
Indonesia,02-07-2000,30.5,22.4,26.1,0.2,6.5,22.7,35063.23
Indonesia,03-07-2000,31.1,23,26.5,0.3,7.3,19.1,39600
Indonesia,04-07-2000,29,23.1,25.5,1.1,5.5,24.8,33535.06
Indonesia,05-07-2000,27.8,22.5,23.9,22.1,7.4,24.1,16978.92
Indonesia,06-07-2000,25.2,22,23.1,7,4.7,21.2,365.34
Indonesia,07-07-2000,28.5,22,24.5,1.3,8.5,22.3,27044.04
Indonesia,08-07-2000,30.4,21.6,25.6,0,6.3,20.9,39261.57
Indonesia,09-07-2000,29.8,22,25.5,3.5,8.9,16.2,38364.7
Indonesia,10-07-2000,30.8,22.6,25.6,2.7,7.4,17.3,39600
Indonesia,11-07-2000,28.7,22.8,25,1.2,5.4,20.5,32789.62
Indonesia,12-07-2000,29.5,22.1,24.6,11.4,5.5,24.5,33040.17
Indonesia,13-07-2000,27.7,22.1,24.1,3.6,5.9,20.5,28607.57
Indonesia,14-07-2000,29.8,22,25,0.7,5.8,24.1,36896.13
Indonesia,15-07-2000,29.1,22.2,25.2,0.7,6.6,20.9,37539.82
Indonesia,16-07-2000,29.9,22.7,26.1,0.6,5.2,22.3,39600
Indonesia,17-07-2000,29.5,22.5,25.3,2.7,7.3,26.3,35906.61
Indonesia,18-07-2000,30.7,22.2,25.7,3.8,8.7,25.9,39621.36
Indonesia,19-07-2000,29.6,22.1,24.6,7,6.5,22,37410.73
Indonesia,20-07-2000,29.3,22.2,25,4.4,5.4,21.6,34782.66
Indonesia,21-07-2000,30,22.3,25.3,1.6,5,18.4,31734.5
Indonesia,22-07-2000,27.8,22.9,24.6,2.5,6.6,17.6,28848.99
Indonesia,23-07-2000,27.1,22,23.7,7.7,5.7,19.1,27510.66
Indonesia,24-07-2000,29.1,21.6,24.1,6.6,4.3,20.2,36625.33
Indonesia,25-07-2000,29.6,21.8,24.3,10.3,5.9,24.5,32099.14
Indonesia,26-07-2000,29.4,21.9,24.6,3.3,5.9,24.8,28083.99
Indonesia,27-07-2000,27.8,22.4,24.4,9.3,8.5,26.6,36000
Indonesia,28-07-2000,29.3,22.2,24.5,4,6.9,20.5,29879.91
Indonesia,29-07-2000,30.1,21.6,25.4,0.7,8.7,34.6,36419.63
Indonesia,30-07-2000,29.6,22.3,25.3,1.8,10.3,30.2,36000
Indonesia,31-07-2000,28.1,22.2,24.4,6.9,7.4,29.5,29144.3
Indonesia,01-08-2000,29.3,21.9,24.3,11.5,8.3,22.7,31415.59
Indonesia,02-08-2000,27.3,22,23.5,16.3,4.5,20.5,19526.7
Indonesia,03-08-2000,27.4,21.6,23.8,2.6,7.6,19.1,20990.16
Indonesia,04-08-2000,28.5,21.4,24.2,3.3,6.9,23,33270.38
Indonesia,05-08-2000,27.9,21.3,24.6,3.2,6.1,21.2,30622.26
Indonesia,06-08-2000,29.6,22,23.8,9.9,5,21.2,23552.76
Indonesia,07-08-2000,30.2,22.3,25,7.3,6.6,25.9,36000
Indonesia,08-08-2000,28.9,22.2,24.6,2.5,5.8,28.1,33655.87
Indonesia,09-08-2000,29.6,21.4,25.2,3.5,7.2,27.4,39600
Indonesia,10-08-2000,28.5,22.4,24.6,3.2,5.9,20.2,29792.44
Indonesia,11-08-2000,27.9,22.2,24.1,12,5.8,19.4,27383.94
